x_mm,y_mm
6.870767212479374564e+01,9.087442045876431962e+01
6.851388697411239548e+01,9.136216675122055619e+01
6.832072605497141637e+01,9.185435971971955382e+01
6.812804142224712223e+01,9.235090035163496225e+01
6.793568503132171088e+01,9.285168526481507456e+01
6.774350885558979485e+01,9.335660676063179153e+01
6.755136500353548001e+01,9.386555288029779831e+01
6.735910583529076234e+01,9.437840746441688111e+01
6.716658407858713531e+01,9.489505021573140198e+01
6.697365294401251390e+01,9.541535676502775232e+01
6.678016623948681740e+01,9.593919874015853111e+01
6.658597848386951057e+01,9.646644383813735146e+01
6.639094501961419326e+01,9.699695590026071557e+01
6.619492212438528611e+01,9.753059499020825740e+01
6.599776712155346559e+01,9.806721747507050679e+01
6.579933848948729747e+01,9.860667610925190729e+01
6.559949596955938489e+01,9.914882012119340970e+01
6.539810067278688166e+01,9.969349530285765582e+01
6.519501518502707427e+01,1.002405441019173082e+02
6.499010367065019977e+01,1.007898057165852777e+02
6.478323197461300254e+01,1.013411161930230691e+02
6.457426772285734273e+01,1.018943085252617635e+02
6.436308042096096926e+01,1.024492127575689295e+02
6.414954155096701527e+01,1.030056560891910209e+02
6.393352466632252629e+01,1.035634629814008605e+02
6.371490548485592598e+01,1.041224552667774645e+02
6.349356197972652183e+01,1.046824522606424352e+02
6.326937446827984957e+01,1.052432708745780019e+02
6.304222569874492876e+01,1.058047257319473005e+02
6.281200093471079526e+01,1.063666292853383624e+02
6.257858803732226249e+01,1.069287919358501000e+02
6.234187754513592239e+01,1.074910221541376529e+02
6.210176275157969172e+01,1.080531266031337054e+02
6.185813977996144786e+01,1.086149102623597145e+02
6.161090765597363372e+01,1.091761765537408309e+02
6.135996837764352563e+01,1.097367274688370031e+02
6.110522698268002983e+01,1.102963636973999684e+02
6.084659161317097897e+01,1.108548847571681222e+02
6.058397357758629198e+01,1.114120891248060019e+02
6.031728741004464212e+01,1.119677743678979454e+02
6.004645092680418372e+01,1.125217372779020053e+02
5.977138527993887607e+01,1.130737740039709109e+02
5.949201500816535315e+01,1.136236801875450482e+02
5.920826808478714298e+01,1.141712510976225303e+02
5.892007596272492975e+01,1.147162817666107202e+02
5.862737361660480673e+01,1.152585671266621290e+02
5.833009958187775368e+01,1.157979021463985987e+02
5.802819599094694070e+01,1.163340819679257265e+02
5.772160860628114420e+01,1.168669020440408985e+02
5.741028685049504787e+01,1.173961582755359103e+02
5.709418383338025649e+01,1.179216471484968167e+02
5.677325637587207297e+01,1.184431658715030125e+02
5.644746503094084034e+01,1.189605125126263090e+02
5.611677410139808586e+01,1.194734861361333884e+02
5.578115165461058211e+01,1.199818869387913480e+02
5.544056953411785571e+01,1.204855163856806968e+02
5.509500336815115418e+01,1.209841773454166400e+02
5.474443257505398464e+01,1.214776742246812091e+02
5.438884036560725832e+01,1.219658131019703973e+02
5.402821374226426343e+01,1.224484018604583753e+02
5.366254349530291279e+01,1.229252503198836308e+02
5.329182419590565445e+01,1.233961703673614210e+02
5.291605418617940870e+01,1.238609760870273533e+02
5.253523556613024681e+01,1.243194838884190148e+02
5.214937417761036897e+01,1.247715126335010183e+02
5.175847958525685044e+01,1.252168837622428299e+02
5.136256505444416831e+01,1.256554214166563526e+02
5.096164752627476702e+01,1.260869525632041075e+02
5.055574758963438597e+01,1.265113071134882006e+02
5.014488945034102585e+01,1.269283180431315401e+02
4.972910089741849760e+01,1.273378215087655292e+02
4.930841326652842582e+01,1.277396569630371772e+02
4.888286140059554441e+01,1.281336672675522834e+02
4.845248360766505158e+01,1.285196988036714743e+02
4.801732161603088400e+01,1.288976015810777085e+02
4.757742052667764199e+01,1.292672293440348028e+02
4.713282876308019098e+01,1.296284396752596990e+02
4.668359801840649226e+01,1.299810940973309243e+02
4.622978320017268317e+01,1.303250581715581120e+02
4.577144237239962621e+01,1.306602015942405046e+02
4.530863669532352134e+01,1.309863982902415955e+02
4.484143036271435534e+01,1.313035265038111561e+02
4.436989053685744011e+01,1.316114688865870619e+02
4.389408728125641801e+01,1.319101125827107808e+02
4.341409349111587801e+01,1.321993493109931990e+02
4.292998482166572671e+01,1.324790754440692524e+02
4.244183961438861985e+01,1.327491920844814786e+02
4.194973882121569630e+01,1.330096051376357309e+02
4.145376592675577854e+01,1.332602253815734059e+02
4.095400686862512174e+01,1.335009685335078871e+02
4.045054995594682623e+01,1.337317553130738759e+02
3.994348578608930467e+01,1.339525115022420891e+02
3.943290715971583893e+01,1.341631680018527675e+02
3.891890899421696304e+01,1.343636608847251352e+02
3.840158823560026491e+01,1.345539314453009752e+02
3.788104376891217839e+01,1.347339262457842324e+02
3.735737632726748814e+01,1.349035971587404390e+02
3.683068839956440854e+01,1.350629014061217958e+02
3.630108413696233072e+01,1.352118015946876710e+02
3.576866925820188214e+01,1.353502657477912976e+02
3.523355095384677327e+01,1.354782673335067500e+02
3.469583778952767261e+01,1.355957852890735182e+02
3.415563960827014256e+01,1.357028040416371084e+02
3.361306743198751690e+01,1.357993135252681043e+02
3.306823336222227283e+01,1.358853091942443712e+02
3.252125048021780174e+01,1.359607920325829582e+02
3.197223274640502666e+01,1.360257685598126898e+02
3.142129489938706755e+01,1.360802508329791465e+02
3.086855235450616064e+01,1.361242564448777159e+02
3.031412110207766020e+01,1.361578085185129510e+02
2.975811760537501272e+01,1.361809356977844629e+02
2.920065869845128148e+01,1.361936721344033003e+02
2.864186148388100150e+01,1.361960574710443552e+02
2.808184323050796039e+01,1.361881368207444893e+02
2.752072127128315060e+01,1.361699607425567251e+02
2.695861290127719556e+01,1.361415852134758495e+02
2.639563527595224102e+01,1.361030715966516880e+02
2.583190530977640975e+01,1.360544866059096591e+02
2.526753957526527117e+01,1.359959022666010355e+02
2.470265420253322475e+01,1.359273958728074660e+02
2.413736477943725944e+01,1.358490499409276993e+02
2.357178625239613368e+01,1.357609521596759237e+02
2.300603282796548044e+01,1.356631953365249785e+02
2.244021787525095490e+01,1.355558773406293653e+02
2.187445382923843695e+01,1.354391010422658042e+02
2.130885209512163314e+01,1.353129742488317504e+02
2.074352295370517751e+01,1.351776096374443341e+02
2.017857546796052759e+01,1.350331246841852817e+02
1.961411739081214023e+01,1.348796415900393129e+02
1.905025507422830344e+01,1.347172872035754096e+02
1.848709337969237865e+01,1.345461929404247314e+02
1.792473559012644557e+01,1.343664946996079550e+02
1.736328332334044688e+01,1.341783327767706453e+02
1.680283644707714075e+01,1.339818517743847508e+02
1.624349299572211436e+01,1.337772005089780976e+02
1.568534908874755374e+01,1.335645319154550350e+02
1.512849885095556779e+01,1.333440029485743423e+02
1.457303433458703346e+01,1.331157744816512434e+02
1.401904544335868152e+01,1.328800112025541296e+02
1.346661985849107701e+01,1.326368815070667324e+02
1.291584296678759003e+01,1.323865573896899832e+02
1.236679779082257369e+01,1.321292143319583090e+02
1.181956492129653924e+01,1.318650311883481834e+02
1.127422245161238301e+01,1.315941900698569782e+02
1.073084591472679961e+01,1.313168762253335444e+02
1.018950822232797293e+01,1.310332779206426039e+02
9.650279606388661335e+00,1.307435863157457732e+02
9.113227563143123433e+00,1.304479953397860186e+02
8.578416799532389447e+00,1.301467015642611500e+02
8.045909182162453988e+00,1.298399040743747719e+02
7.515763688815940924e+00,1.295278043386545050e+02
6.988036362557360270e+00,1.292106060769273768e+02
6.462780268468983458e+00,1.288885151267451761e+02
5.940045453052150926e+00,1.285617393083520597e+02
5.419878906327706858e+00,1.282304882882888819e+02
4.902324526665418958e+00,1.278949734417288226e+02
4.387423088371858348e+00,1.275554077136411877e+02
3.875212212062089989e+00,1.272120054788788366e+02
3.365726337839953342e+00,1.268649824012880885e+02
2.858996701308351263e+00,1.265145552919388905e+02
2.355051312428682042e+00,1.261609419665738159e+02
1.853914937247244099e+00,1.258043611023760064e+02
1.355609082502532869e+00,1.254450320941558630e+02
8.601519831265528326e-01,1.250831749100565418e+02
3.675585926499478906e-01,1.247190099468795665e+02
-1.221594234816269081e-01,1.243527578851310977e+02
-6.089936916738464268e-01,1.239846395438906512e+02
-1.092939131030664424e+00,1.236148757356028227e+02
-1.573993951280386883e+00,1.232436871208942790e+02
-2.052159647783506458e+00,1.228712940635169133e+02
-2.527440993625758470e+00,1.224979164855186156e+02
-2.999846028803207165e+00,1.221237737227428681e+02
-3.469386046508507793e+00,1.217490843807577363e+02
-3.936075576528939912e+00,1.213740661913156202e+02
-4.399932365770603759e+00,1.209989358694428603e+02
-4.860977355923909116e+00,1.206239089712599792e+02
-5.319234658289406781e+00,1.202491997526313270e+02
-5.774731525783884045e+00,1.198750210287424238e+02
-6.227498322149873644e+00,1.195015840347038250e+02
-6.677568488393972324e+00,1.191290982872778983e+02
-7.124978506480723617e+00,1.187577714478250783e+02
-7.569767860312532903e+00,1.183878091865657183e+02
-8.011978994026605960e+00,1.180194150482510480e+02
-8.451657267643819083e+00,1.176527903193377824e+02
-8.888850910105015046e+00,1.172881338967580547e+02
-9.323610969733385545e+00,1.169256421583765899e+02
-9.755991262163597355e+00,1.165655088352246338e+02
-1.018604831577957981e+01,1.162079248855999083e+02
-1.061384131470625114e+01,1.158530783711195369e+02
-1.103943203940116291e+01,1.155011543348124974e+02
-1.146288480489477912e+01,1.151523346813356312e+02
-1.188426639673015650e+01,1.148067980593966979e+02
-1.230364600465372327e+01,1.144647197464653061e+02
-1.272109515411208847e+01,1.141262715358521547e+02
-1.313668763561015673e+01,1.137916216262340043e+02
-1.355049943198901552e+01,1.134609345137010763e+02
-1.396260864368248988e+01,1.131343708864010296e+02
-1.437309541201375573e+01,1.128120875218525754e+02
-1.478204184059499227e+01,1.124942371869984044e+02
-1.518953191489388033e+01,1.121809685410674149e+02
-1.559565142003348193e+01,1.118724260413115701e+02
-1.600048785689209652e+01,1.115687498516829521e+02
-1.640413035657261887e+01,1.112700757545127033e+02
-1.680666959331090027e+01,1.109765350652526905e+02
-1.720819769589469672e+01,1.106882545503375326e+02
-1.760880815766627094e+01,1.104053563482228526e+02
-1.800859574518181816e+01,1.101279578936537575e+02
-1.840765640560341510e+01,1.098561718452137228e+02
-1.880608717289908327e+01,1.095901060162036771e+02
-1.920398607292827009e+01,1.093298633088973730e+02
-1.960145202749093229e+01,1.090755416522163586e+02
-1.999858475741882202e+01,1.088272339428673661e+02
-2.039548468478924903e+01,1.085850279899797926e+02
-2.079225283434131910e+01,1.083490064632807304e+02
-2.118899073417652801e+01,1.081192468448409016e+02
-2.158580031582507885e+01,1.078958213844231580e+02
-2.198278381376071522e+01,1.076787970584623650e+02
-2.238004366444712190e+01,1.074682355327023089e+02
-2.277768240499903385e+01,1.072641931285140942e+02
-2.317580257154237700e+01,1.070667207929161009e+02
-2.357450659735690479e+01,1.068758640723138171e+02
-2.397389671088663832e+01,1.066916630899757905e+02
-2.437407483370179406e+01,1.065141525272575507e+02
-2.477514247849743612e+01,1.063433616085846438e+02
-2.517720064721366313e+01,1.061793140902014585e+02
-2.558034972936150808e+01,1.060220282526911575e+02
-2.598468940063998289e+01,1.058715168972686627e+02
-2.639031852192806582e+01,1.057277873458457833e+02
-2.679733503873626788e+01,1.055908414448656600e+02
-2.720583588120190299e+01,1.054606755729000866e+02
-2.761591686471115636e+01,1.053372806520010414e+02
-2.802767259123196553e+01,1.052206421627953148e+02
-2.844119635143962199e+01,1.051107401633077387e+02
-2.885658002771802089e+01,1.050075493114966605e+02
-2.927391399811760664e+01,1.049110388914818230e+02
